TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63817867405056,25.9,0.8,10.0,0.1,15.0,0.1
63817867406277,29.6,1.1,10.0,3.5,15.0,0.0
63817867407462,25.8,0.7,10.0,0.1,15.0,0.0
63817867408667,26.1,1.0,10.0,0.1,15.0,0.0
63817867409869,25.3,0.3,10.0,0.0,15.0,0.0
63817867411065,25.6,0.4,10.0,0.3,15.0,0.0
63817867412246,25.3,0.2,10.0,0.0,15.0,0.0
63817867413446,25.6,0.4,10.0,0.1,15.0,0.0
63817867414631,25.4,0.4,10.0,0.0,15.0,0.0
63817867415815,25.4,0.4,10.0,0.0,15.0,0.0
63817867417020,25.4,0.4,10.0,0.0,15.0,0.0
63817867418204,25.3,0.3,10.0,0.0,15.0,0.1
63817867419403,25.3,0.3,10.0,0.0,15.0,0.0
63817867420595,25.3,0.3,10.0,0.0,15.0,0.0
63817867421778,25.5,0.5,10.0,0.0,15.0,0.1
63817867422975,25.4,0.3,10.0,0.0,15.0,0.0
